"Stay","N","S","W","E","NW","NE","SW","SE","lon","lat"
0.8624,0,0,0.1372,4e-04,0,0,0,0,-158.5,-73.5
0.8664,0,0,0.1328,8e-04,0,0,0,0,-157.5,-73.5
0.8788,0,0,0.1212,0,0,0,0,0,-156.5,-73.5
0.896,0,0,0.1036,4e-04,0,0,0,0,-155.5,-73.5
0.902,0,0,0.0972,8e-04,0,0,0,0,-154.5,-73.5
0.9196,0,0,0.074,0.0064,0,0,0,0,-153.5,-73.5
0.9332,0.0028,0,0.06,0.0036,0,4e-04,0,0,-152.5,-73.5
0.9232,0.0032,0,0.07,0.0032,0,4e-04,0,0,-151.5,-73.5
0.91,4e-04,0,0.084,0.0056,0,0,0,0,-150.5,-73.5
0.9128,0,0.0028,0.082,0.0024,0,0,0,0,-149.5,-73.5
0.9132,0,0.0048,0.0784,0.0036,0,0,0,0,-148.5,-73.5
0.8976,0,0.0176,0.0832,4e-04,0,0,0.0012,0,-147.5,-73.5
0.8836,0,0.0148,0.0952,0.0012,0,0,0.0052,0,-146.5,-73.5
0.8832,0,0.008,0.0996,0.006,0,0,0.0032,0,-145.5,-73.5
0.8788,0,0.0104,0.102,0.0076,0,0,0.0012,0,-144.5,-73.5
0.8508,0,0.0252,0.112,0.0068,0,0,0.0052,0,-143.5,-73.5
0.8088,0,0.0316,0.1348,0.0068,0,0,0.018,0,-142.5,-73.5
0.776,0,0.032,0.1692,0.004,0,0,0.0188,0,-141.5,-73.5
0.7688,0,0.0172,0.196,4e-04,0,0,0.0176,0,-140.5,-73.5
0.7876,0,0.006,0.2004,0.0024,0,0,0.0036,0,-139.5,-73.5
0.8172,4e-04,0.0052,0.1712,0.0032,0,0,0.0028,0,-138.5,-73.5
0.858,0,0.0028,0.128,0.0084,0,0,0.0028,0,-137.5,-73.5
0.8676,0,0.0164,0.1048,0.01,0,0,8e-04,4e-04,-136.5,-73.5
0.8808,0,0,0.1024,0.0152,0,0,0.0016,0,-135.5,-73.5
0.8744,4e-04,0.0072,0.094,0.0228,0,8e-04,4e-04,0,-134.5,-73.5
0.8268,0.0168,0.0228,0.1056,0.018,0,0.0024,0.0076,0,-133.5,-73.5
0.8136,0.0024,0.0068,0.1556,0.0188,0.0012,0,0.0016,0,-132.5,-73.5
0.8112,0.0016,0.004,0.1584,0.0244,0,0,4e-04,0,-131.5,-73.5
0.7672,0.004,0.0232,0.1744,0.0244,4e-04,4e-04,0.006,0,-130.5,-73.5
0.746,0.0032,0,0.2164,0.0332,0,0,0.0012,0,-129.5,-73.5
0.7372,4e-04,0.0296,0.2076,0.0248,0,0,4e-04,0,-128.5,-73.5
0.67,0.0035,0.0505,0.2595,0.0025,0,0,0.014,0,-127.5,-73.5
0.518974358974359,0,0,0.477948717948718,0.00102564102564103,0.00205128205128205,0,0,0,-126.5,-73.5
0.72551724137931,0.00344827586206897,0,0.267586206896552,0.00275862068965517,0.000689655172413793,0,0,0,-125.5,-73.5
0.754074074074074,0.000987654320987654,0,0.241481481481481,0.00197530864197531,0.00148148148148148,0,0,0,-124.5,-73.5
0.752527472527473,0,0.0369230769230769,0.210549450549451,0,0,0,0,0,-123.5,-73.5
0.717714285714286,0,0,0.282285714285714,0,0,0,0,0,-122.5,-73.5
0.745128205128205,0,0,0.254871794871795,0,0,0,0,0,-121.5,-73.5
0.767640449438202,0,0,0.231910112359551,0.000449438202247191,0,0,0,0,-120.5,-73.5
0.760888888888889,0,0,0.239111111111111,0,0,0,0,0,-119.5,-73.5
0.753814432989691,0,0.0177319587628866,0.228453608247423,0,0,0,0,0,-118.5,-73.5
0.7712,0,0,0.2288,0,0,0,0,0,-117.5,-73.5
0.7728,0,0,0.2272,0,0,0,0,0,-116.5,-73.5
0.7744,0,0,0.2248,8e-04,0,0,0,0,-115.5,-73.5
0.7792,0,0,0.2208,0,0,0,0,0,-114.5,-73.5
0.7736,0,0,0.226,4e-04,0,0,0,0,-113.5,-73.5
0.8116,0,0,0.188,4e-04,0,0,0,0,-112.5,-73.5
0.8172,0,0,0.1796,0.0032,0,0,0,0,-111.5,-73.5
0.8168,0,0,0.1796,0.0036,0,0,0,0,-110.5,-73.5
0.8068,0,0,0.1884,0.0048,0,0,0,0,-109.5,-73.5
0.7988,0,0,0.1944,0.0064,0,4e-04,0,0,-108.5,-73.5
0.7916,4e-04,0,0.198,0.01,0,0,0,0,-107.5,-73.5
0.8164,4e-04,0.0036,0.1772,0.0024,0,0,0,0,-106.5,-73.5
0.899325842696629,0,0.00808988764044944,0.0898876404494382,0.00224719101123596,0,0,0.000449438202247191,0,-105.5,-73.5
0.959148936170213,0,0,0.0353191489361702,0.00425531914893617,0,0,0.00127659574468085,0,-104.5,-73.5
0.904126984126984,0,0.0361904761904762,0.0590476190476191,0,0,0,0.000634920634920635,0,-103.5,-73.5
1,0,0,0,0,0,0,0,0,-102.5,-73.5
0.9648,0,0,0.0352,0,0,0,0,0,-101.5,-73.5
0.894193548387097,0,0,0.105806451612903,0,0,0,0,0,-100.5,-73.5
0.732,0,0,0.264,0.004,0,0,0,0,-99.5,-73.5
0.865454545454545,0,0,0.134545454545455,0,0,0,0,0,-98.5,-73.5
0.918571428571429,0,0,0.0814285714285714,0,0,0,0,0,-97.5,-73.5
0.926,0,0,0.074,0,0,0,0,0,-96.5,-73.5
0.894666666666667,0,0,0.105333333333333,0,0,0,0,0,-95.5,-73.5
0.917714285714286,0,0,0.0788571428571429,0.00342857142857143,0,0,0,0,-94.5,-73.5
0.896,0,0,0.102666666666667,0.00133333333333333,0,0,0,0,-93.5,-73.5
0.893333333333333,0,0,0.106666666666667,0,0,0,0,0,-92.5,-73.5
0.875,0,0,0.125,0,0,0,0,0,-91.5,-73.5
0.952,0,0,0.048,0,0,0,0,0,-90.5,-73.5
1,0,0,0,0,0,0,0,0,-89.5,-73.5
0.84,0.16,0,0,0,0,0,0,0,-88.5,-73.5
0.850909090909091,0,0,0.130909090909091,0,0.0181818181818182,0,0,0,-87.5,-73.5
0.826666666666667,0,0,0.173333333333333,0,0,0,0,0,-86.5,-73.5
0.830877192982456,0.00701754385964912,0,0.112280701754386,0,0.0498245614035088,0,0,0,-85.5,-73.5
0.753157894736842,0,0,0.245789473684211,0.00105263157894737,0,0,0,0,-84.5,-73.5
0.81219512195122,0,0,0.185365853658537,0.0024390243902439,0,0,0,0,-83.5,-73.5
0.853473684210526,0,0,0.145263157894737,0.00126315789473684,0,0,0,0,-82.5,-73.5
0.854871794871795,0,0,0.145128205128205,0,0,0,0,0,-81.5,-73.5
0.885714285714286,0,0,0.114285714285714,0,0,0,0,0,-80.5,-73.5
0.8675,0,0,0.1325,0,0,0,0,0,-79.5,-73.5
1,0,0,0,0,0,0,0,0,-78.5,-73.5
0.9848,0,0,0.0128,0.0024,0,0,0,0,-77.5,-73.5
0.938591549295775,0,0,0.0602816901408451,0.00112676056338028,0,0,0,0,-76.5,-73.5
0.777777777777778,0,0,0.222222222222222,0,0,0,0,0,-75.5,-73.5
0.986086956521739,0.00521739130434783,0,0,0.00869565217391304,0,0,0,0,-74.5,-73.5
0.9304,0,0,0.0544,0.0152,0,0,0,0,-73.5,-73.5
0.875471698113208,0,0,0.107924528301887,0.0166037735849057,0,0,0,0,-72.5,-73.5
0.854545454545454,0,0,0.130909090909091,0.0145454545454545,0,0,0,0,-71.5,-73.5
0.85,0,0,0.138888888888889,0.0111111111111111,0,0,0,0,-70.5,-73.5
0.852307692307692,0,0,0.14,0.00769230769230769,0,0,0,0,-69.5,-73.5
0.83,0.01,0,0.16,0,0,0,0,0,-68.5,-73.5
1,0,0,0,0,0,0,0,0,-61.5,-73.5
0.912,0,0.0862222222222222,0,0.00177777777777778,0,0,0,0,-60.5,-73.5
0.94,0.0110204081632653,0,0.0477551020408163,0.000816326530612245,0,0.000408163265306122,0,0,-59.5,-73.5
0.8924,0.0848,0.0048,0.016,0.0012,8e-04,0,0,0,-58.5,-73.5
0.8476,0.0208,4e-04,0.1252,8e-04,0.0052,0,0,0,-57.5,-73.5
0.8536,0.0028,0,0.1404,0.0032,0,0,0,0,-56.5,-73.5
0.8868,0.0024,0,0.1084,0.0024,0,0,0,0,-55.5,-73.5
0.9036,0.002,0,0.0932,0.0012,0,0,0,0,-54.5,-73.5
0.9024,0.002,0,0.0936,0.002,0,0,0,0,-53.5,-73.5
0.9092,0.0016,0,0.0848,0.0044,0,0,0,0,-52.5,-73.5
0.9256,0,0,0.0624,0.012,0,0,0,0,-51.5,-73.5
0.9464,0,0,0.0368,0.0168,0,0,0,0,-50.5,-73.5
0.964,0,0,0.0172,0.0188,0,0,0,0,-49.5,-73.5
0.95,0,0,0.0256,0.0244,0,0,0,0,-48.5,-73.5
0.9468,0,0.0012,0.0264,0.0252,0,0,0,4e-04,-47.5,-73.5
0.9516,4e-04,0,0.0268,0.0212,0,0,0,0,-46.5,-73.5
0.924,0.0384,0,0.0272,0.0104,0,0,0,0,-45.5,-73.5
0.9304,8e-04,0.0104,0.0344,0.022,0.002,0,0,0,-44.5,-73.5
0.9176,0,0.0028,0.0568,0.0208,0,0,0.002,0,-43.5,-73.5
0.9016,0.0024,0,0.0768,0.0192,0,0,0,0,-42.5,-73.5
0.906,0,0,0.0716,0.0224,0,0,0,0,-41.5,-73.5
0.8668,4e-04,4e-04,0.0716,0.0608,0,0,0,0,-40.5,-73.5
0.8544,0.0068,0.0084,0.0744,0.052,4e-04,0,0,0.0036,-39.5,-73.5
0.8376,0,0.0052,0.104,0.0496,0.0012,0,0,0.0024,-38.5,-73.5
0.8128,8e-04,0.0152,0.114,0.056,0,0,0,0.0012,-37.5,-73.5
0.7808,4e-04,0.0144,0.136,0.0656,0.0028,0,0,0,-36.5,-73.5
0.736,0,0.0136,0.168,0.0792,0,0,0.0028,4e-04,-35.5,-73.5
0.708,0,0.0136,0.184,0.0892,0,0,0.0048,4e-04,-34.5,-73.5
0.7104,0,0.0132,0.1848,0.0896,0,0,8e-04,0.0012,-33.5,-73.5
0.696,0.0136,0.0196,0.2,0.0616,0.004,0,0.0024,0.0028,-32.5,-73.5
0.6196,0.0424,0.0168,0.224,0.0408,0.052,0,8e-04,0.0036,-31.5,-73.5
0.5616,0.0368,0.0256,0.3168,0.02,0.0356,0,8e-04,0.0028,-30.5,-73.5
0.5732,4e-04,0.0096,0.3868,0.0264,0.0024,8e-04,4e-04,0,-29.5,-73.5
0.546,0.0032,0,0.388,0.0624,0,0,0,4e-04,-28.5,-73.5
0.5104,0.0028,0.0052,0.4052,0.0764,0,0,0,0,-27.5,-73.5
0.4804,0,0.0396,0.412,0.066,0,0,0.002,0,-26.5,-73.5
